ticker,total_earnings,earnings_analyzed,avg_1day_drift,avg_5day_drift,avg_10day_drift,avg_1day_drift_on_beat,avg_5day_drift_on_beat,avg_10day_drift_on_beat,avg_1day_drift_on_miss,avg_5day_drift_on_miss,avg_10day_drift_on_miss,big_beats_count,avg_10day_drift_on_big_beat,big_beat_win_rate,drift_10day_std,beat_drift_win_rate,best_drift_10day,worst_drift_10day
WSM,24,24,1.627453685084414,2.248598154949163,1.6744067612042375,1.6552002466101814,2.2495856298390633,1.9206899757044256,0.9892827699917583,2.2258862324814532,-3.990107172300086,20,0.9741629039990845,0.4,8.783174275652765,0.43478260869565216,17.720726361928616,-11.998545630832632
PVH,24,24,-0.012444602197713373,1.3919322724375551,0.7842469169627341,0.24703854391366784,1.9843845550250294,1.4075693936173934,-1.8288266249773821,-2.7552337056747622,-3.579010419619882,17,0.8098710017466731,0.29411764705882354,12.035108293746413,0.3333333333333333,30.434782608695656,-14.324324324324325
FFIV,24,24,-0.8177312666096878,-1.3395765093234189,1.0453857543067975,-0.8177312666096878,-1.3395765093234189,1.0453857543067975,0.0,0.0,0.0,17,0.7175744732942982,0.5294117647058824,5.227151124141389,0.5416666666666666,14.305343511450388,-7.896299228181282
NE,18,17,2.7412226943983917,0.9192276659593679,2.0195866129555227,0.7948722119131468,-0.19795747655243603,1.2756364023413762,3.8028684121176153,1.5286013800567149,2.4253776369268745,5,0.6751719347097571,0.6,9.318527427694836,0.6666666666666666,18.39117742458645,-18.522438611346313
VRTS,24,24,-0.05401230781114889,0.15469615454223704,0.5528766419899096,-0.026003118058033278,0.9219586425983163,1.543163194569449,-0.16044722887298798,-2.7609013000708655,-3.2102122578123398,8,0.6627225966509668,0.5,8.454075733877628,0.5789473684210527,15.519292245929673,-15.775332650972357
PSTG,23,23,1.2851141793466183,0.9073163915703522,0.6451791855580499,1.2851141793466183,0.9073163915703522,0.6451791855580499,0.0,0.0,0.0,23,0.6451791855580499,0.5652173913043478,10.893112171840501,0.5652173913043478,22.29132569558101,-20.429311621021466
BAH,24,24,0.37774297034268245,0.7700336214560094,1.1403740351432214,0.22361767278130204,0.73105347932652,0.9364340725903982,1.4566200532723454,1.0428946163624346,2.5679537730129858,16,0.6411972217518166,0.375,5.42844882691416,0.42857142857142855,11.656519533231858,-9.601226993865037
SPHR,20,20,-1.4026971342967205,-0.7335248405423123,0.9563924465792578,-0.6958560215806984,-0.3929360284124362,0.5789947701478578,-2.1095382470127424,-1.074113652672189,1.3337901230106581,10,0.5789947701478578,0.4,10.584584131459644,0.4,18.904369854338185,-16.927690769743425
AMKR,24,24,-0.5173128545920306,0.2550894028030184,0.9306918308289873,-0.9226416822569226,0.6561772033024927,0.9635841940519045,2.3199889390622146,-2.5525252006933035,0.7004452882685684,20,0.5647895003674923,0.35,13.952520957392782,0.38095238095238093,40.69905213270143,-24.64944649446494
VEEV,24,24,0.6180380534383585,0.11995192626309932,-0.18847516149612056,0.6180380534383585,0.11995192626309932,-0.18847516149612056,0.0,0.0,0.0,19,0.5324536322178399,0.5789473684210527,7.137247016771316,0.5,10.921540656205412,-12.575291948371223
TFC,24,24,-0.3686010088114517,0.7624146700129627,0.5286308989953357,-0.36016436446942474,1.0541418182851992,1.897155762067556,-0.41078423052158675,-0.6962210713482185,-6.3139934163657685,12,0.5139069955885421,0.5,5.702366049086128,0.65,9.141121237227292,-20.131421744324967
BBBY,24,24,-2.0580104232065826,1.685799046091627,1.3671241458583232,-1.9453158645326676,3.046004487906377,0.4642757298034657,-2.2458346876631072,-0.581210023599623,2.871871505949752,15,0.4642757298034657,0.4666666666666667,19.9183651053928,0.4666666666666667,52.87356321839082,-37.4061433447099
GD,24,24,0.030259041933760545,0.6785873003175666,1.7798917223413324,0.16572126250613392,1.0389073676585132,1.665624931790746,-0.37612761978335946,-0.40237290170527285,2.12269209399309,3,0.4142415869445961,0.6666666666666666,3.514564163087745,0.6666666666666666,10.653806508614343,-6.22314049586777
WWD,24,24,-1.0198435586090024,-0.18298593189348913,0.47031419069217617,-1.1400711193642734,0.6433057935176624,0.5637085116299589,-0.7793884370984607,-1.8355693827157922,0.28352554881661063,15,0.3990077102506627,0.4,6.864624672613326,0.4375,11.058755649581691,-9.91795806745671
STT,24,24,-0.44992670313807653,0.6637281696145397,1.3474007573400766,-0.5846273773402813,0.6734955710615325,1.5109802967824857,2.648188803512633,0.4390779363337094,-2.4149286498353333,18,0.3960332395088249,0.6666666666666666,7.130169448219316,0.6956521739130435,15.492083203973927,-11.81195680800632
BKE,24,24,0.39248887422637296,1.2417043942595283,2.3199574406500747,0.3560181835504586,1.0272100377032964,1.221193358049345,0.5310774987948481,2.056782949173209,6.495260954532848,17,0.3675159308622264,0.47058823529411764,6.506866959716059,0.5263157894736842,22.14673913043478,-5.520805004079415
